import time: self [us] | cumulative | imported package
import time:       566 |      11676 |   hydra_zen._hydra_overloads
import time:       575 |        575 |   hydra_zen._launch
import time:      1106 |       1106 |     hydra_zen.wrapper._implementations
import time:       122 |       1227 |   hydra_zen.wrapper
import time:        94 |         94 |   hydra_zen._version
import time:       198 |      13768 | hydra_zen
import time:       129 |        129 |   atria_core.types
import time:        63 |         63 |     atria_datasets.pipelines
import time:      1085 |       1085 |         atria_core.transforms.base
import time:        91 |       1176 |       atria_core.transforms
import time:        12 |       1187 |     atria_core.transforms.base
import time:        74 |         74 |         atria_datasets.core
import time:       137 |        210 |       atria_datasets.core.dataset
import time:        31 |         31 |             _json
import time:       262 |        293 |           json.scanner
import time:       282 |        574 |         json.decoder
import time:       303 |        303 |         json.encoder
import time:       149 |       1025 |       json
import time:        53 |         53 |         atria_core.types.base
import time:        59 |         59 |           atria_core.types.base._mixins
import time:       409 |        467 |         atria_core.types.base._mixins._file_path_convertible
import time:       274 |        274 |         atria_core.types.base._mixins._loadable
import time:       625 |        625 |           atria_core.types.base._mixins._batchable
import time:       572 |       1196 |         atria_core.types.base._mixins._repeatable
import time:       387 |        387 |         atria_core.types.base._mixins._table_serializable
import time:       237 |        237 |         atria_core.types.base._mixins._tensor_convertible
import time:       365 |        365 |         atria_core.types.base._mixins._to_device_convertible
import time:       902 |       3879 |       atria_core.types.base.data_model
import time:        71 |         71 |         atria_core.types.typing
import time:       163 |        163 |         atria_core.utilities.encoding
import time:      1929 |       2161 |       atria_core.types.typing.common
import time:        59 |         59 |         atria_core.types.generic
import time:      2179 |       2179 |           atria_core.types.generic.bounding_box
import time:      1464 |       1464 |           atria_core.types.generic.label
import time:      1981 |       5623 |         atria_core.types.generic.annotated_object
import time:      1215 |       1215 |         atria_core.types.generic.question_answer_pair
import time:      6266 |      13161 |       atria_core.types.generic.ground_truth
import time:      1367 |       1367 |       atria_core.types.generic.image
import time:        94 |         94 |         atria_core.utilities.file
import time:      1231 |       1325 |       atria_core.types.generic.ocr
import time:        84 |         84 |       atria_datasets.core.constants
import time:        58 |         58 |             atria_datasets.core.typing
import time:       136 |        193 |           atria_datasets.core.typing.common
import time:       167 |        360 |         atria_datasets.core.dataset.instance_transform
import time:       242 |        601 |       atria_datasets.core.dataset.split_iterator
import time:        81 |         81 |         atria_datasets.core.storage
import time:       136 |        136 |         atria_core.utilities.imports
import time:       418 |        634 |       atria_datasets.core.storage.utilities
import time:      7283 |      31726 |     atria_datasets.core.dataset.atria_dataset
import time:        79 |         79 |       atria_datasets.core.dataset_splitters
import time:       163 |        241 |     atria_datasets.core.dataset_splitters.standard_splitter
import time:       180 |        180 |     atria_datasets.pipelines.utilities
import time:        87 |         87 |     atria_core.utilities.strings
import time:       190 |        190 |     atria_registry.registry_entry
import time:       700 |      34371 |   atria_datasets.pipelines.atria_data_pipeline
import time:        97 |         97 |     atria_models.pipelines
import time:        79 |         79 |       atria_models.core
import time:       893 |        971 |     atria_models.core.atria_model
import time:        70 |         70 |       atria_models.utilities
import time:       167 |        167 |             concurrent.futures.thread
import time:      1372 |       1539 |           fsspec.caching
import time:       101 |        101 |           fsspec._version
import time:       174 |        174 |           fsspec.callbacks
import time:       212 |        212 |             fsspec.utils
import time:       224 |        224 |               glob
import time:      1024 |       1024 |                 configparser
import time:       180 |       1204 |               fsspec.config
import time:       126 |        126 |               fsspec.dircache
import time:       122 |        122 |               fsspec.transaction
import time:       691 |       2365 |             fsspec.spec
import time:       127 |        127 |             isal
import time:       288 |        288 |             gzip
import time:       112 |        112 |             lzmaffi
import time:       101 |        101 |             snappy
import time:       108 |        108 |               lz4
import time:        13 |        120 |             lz4.frame
import time:       104 |        104 |             zstandard
import time:       216 |       3641 |           fsspec.compression
import time:       135 |        135 |             fsspec.registry
import time:       252 |        386 |           fsspec.core
import time:       113 |        113 |           fsspec.exceptions
import time:       165 |        165 |           fsspec.mapping
import time:      6458 |      12574 |         fsspec
import time:        18 |      12592 |       fsspec.core
import time:        97 |         97 |         fsspec.implementations
import time:       387 |        483 |       fsspec.implementations.local
import time:       751 |      13894 |     atria_models.utilities.checkpoints
import time:      1039 |      15999 |   atria_models.pipelines.atria_model_pipeline
import time:        61 |         61 |       atria_ml.training
import time:        99 |        160 |     atria_ml.training.engines
import time:        58 |         58 |       atria_ml.training.configs
import time:       550 |        607 |     atria_ml.training.configs.logging_config
import time:        67 |         67 |         atria_ml.training.engines.engine_steps
import time:        80 |         80 |           atria_ml.training.utilities
import time:       133 |        212 |         atria_ml.training.utilities.constants
import time:       206 |        484 |       atria_ml.training.engines.engine_steps.base
import time:       299 |        783 |     atria_ml.training.engines.atria_engine
import time:       243 |        243 |     atria_ml.training.engines.engine_steps.evaluation
import time:       477 |       2266 |   atria_ml.training.engines.evaluation
import time:       562 |        562 |     atria_ml.training.configs.early_stopping_config
import time:       370 |        370 |     atria_ml.training.configs.gradient_config
import time:       790 |        790 |     atria_ml.training.configs.model_checkpoint
